Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
57,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,29,1990,31.2,51,1.69,40,3,3,4,1,3,0.10,2,0,0,1,0,0,Matches
58,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,33,1986,0.8,1,1.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Sergio Bermejo\Sergio-Bermejo,es ESP,FW,Celta Vigo,21,1997,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,28,1990,18.9,7,0.39,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,24,1995,32.9,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,31,1988,16.8,29,1.83,25,1,1,2,0,4,0.25,3,0,0,1,0,0,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,28,1991,4.5,2,0.57,1,1,0,0,0,1,0.29,1,0,0,0,0,0,Matches
64,Filip Bradarić\Filip-Bradaric,hr CRO,MF,Celta Vigo,27,1992,7.0,7,1.08,5,1,0,1,0,1,0.15,1,0,0,0,0,0,Matches
65,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Barcelona,28,1991,4.4,7,1.60,2,0,2,1,2,1,0.23,0,0,0,1,0,0,Matches
66,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Leganés,28,1991,21.5,42,1.95,27,0,5,5,5,5,0.23,5,0,0,0,0,0,Matches
67,Brandon\Brandon,es ESP,FW,Osasuna,24,1995,4.5,9,2.00,4,0,3,1,1,1,0.22,1,0,0,0,0,0,Matches
68,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,27,1992,24.9,46,1.84,37,0,1,4,4,4,0.16,2,0,0,1,1,0,Matches
69,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,21,1997,16.0,13,0.87,9,1,0,1,2,2,0.13,1,0,0,0,1,0,Matches
70,Bryan\Bryan,es ESP,FW,Sevilla,18,2001,0.7,2,2.77,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Bryan\Bryan,es ESP,MFFW,Leganés,18,2001,5.2,14,3.33,9,2,2,1,0,0,0.00,0,0,0,0,0,0,Matches
