Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
393,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
394,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
395,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,18.8,24,1.27,22,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
396,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,15,1.51,11,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
397,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,7.8,6,0.77,5,1,0,0,0,1,0.13,0,1,0,0,0,0,Matches
398,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,17.0,9,0.53,8,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
399,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,6.6,12,1.83,10,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
400,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,36.0,4,0.11,3,1,0,0,0,3,0.08,2,1,0,0,0,0,Matches
401,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,19.4,85,4.38,51,0,22,6,6,8,0.41,6,0,1,1,0,0,Matches
402,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,29.1,25,0.86,19,1,1,3,0,2,0.07,0,0,0,1,0,1,Matches
403,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,18.8,44,2.34,31,2,7,2,2,7,0.37,6,0,1,0,0,0,Matches
404,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.1,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
405,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,30.8,115,3.74,74,4,22,10,5,15,0.49,7,2,4,1,1,0,Matches
406,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,8.9,19,2.12,13,0,1,0,4,1,0.11,0,0,0,0,0,1,Matches
407,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,1,0.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
408,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,26.0,6,0.23,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
409,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
410,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,20.5,62,3.02,44,1,3,5,9,7,0.34,4,0,0,0,3,0,Matches
411,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,Matches
412,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,3,0.75,1,0,0,1,1,1,0.25,0,0,0,0,1,0,Matches
413,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,9.8,13,1.33,9,0,1,1,2,2,0.20,2,0,0,0,0,0,Matches
