Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
334,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Eint Frankfurt,24,1994,14.3,39,2.74,25,1,5,5,3,6,0.42,4,0,0,2,0,0,Matches
335,Exequiel Palacios\Exequiel-Palacios,ar ARG,MF,Leverkusen,20,1998,2.0,6,3.05,5,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
336,Michael Parensen\Michael-Parensen,de GER,DF,Union Berlin,33,1986,7.0,5,0.72,5,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
337,Paulinho\Paulinho,br BRA,MFFW,Leverkusen,19,2000,3.4,13,3.85,8,0,3,1,1,4,1.18,2,0,2,0,0,0,Matches
338,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,23,1996,31.0,41,1.32,35,2,0,3,1,8,0.26,7,0,0,1,0,0,Matches
339,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,27,1992,33.0,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
340,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,22,1996,1.1,3,2.81,2,0,1,0,0,1,0.94,1,0,0,0,0,0,Matches
341,Peter Pekarík\Peter-Pekarik,sk SVK,DF,Hertha BSC,32,1986,8.5,14,1.64,10,1,0,2,1,3,0.35,1,0,0,1,1,0,Matches
342,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,34,1985,4.0,1,0.25,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
343,Ivan Perišić\Ivan-Perisic,hr CRO,FWMF,Bayern Munich,30,1989,13.4,39,2.91,28,2,3,4,1,8,0.60,7,0,0,0,0,1,Matches
344,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,31,1987,8.0,2,0.25,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
345,Nils Petersen\Nils-Petersen,de GER,FWMF,Freiburg,30,1988,27.1,53,1.96,45,1,3,2,2,5,0.18,4,0,1,0,0,0,Matches
346,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FWMF,Hertha BSC,24,1995,10.1,20,1.98,12,0,5,1,2,5,0.50,2,0,2,0,1,0,Matches
347,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Mainz 05,21,1998,6.4,10,1.57,8,1,0,0,1,1,0.16,1,0,0,0,0,0,Matches
348,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,34,1985,23.4,16,0.68,15,1,0,0,0,3,0.13,3,0,0,0,0,0,Matches
349,Claudio Pizarro\Claudio-Pizarro,pe PER,FWMF,Werder Bremen,40,1978,2.6,9,3.46,7,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
350,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,27,1992,15.5,34,2.19,18,13,1,0,2,7,0.45,4,3,0,0,0,0,Matches
351,Alassane Pléa\Alassane-Plea,fr FRA,FW,M'gladbach,26,1993,23.8,85,3.57,57,0,11,10,7,14,0.59,11,0,0,2,1,0,Matches
352,Thomas Pledl\Thomas-Pledl,de GER,DFMF,Düsseldorf,25,1994,1.0,2,1.98,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
353,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,24,1994,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
354,Sebastian Polter\Sebastian-Polter,de GER,FW,Union Berlin,28,1991,3.7,14,3.82,12,0,0,1,1,3,0.82,2,0,0,0,1,0,Matches
355,Marin Pongračić\Marin-Pongracic,hr CRO,DF,Wolfsburg,21,1997,10.3,4,0.39,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
356,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,22,1997,25.6,23,0.90,15,0,2,4,2,3,0.12,2,0,0,1,0,0,Matches
357,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,25,1994,13.6,34,2.50,27,1,2,2,2,9,0.66,6,1,0,1,1,0,Matches
358,Kai Pröger\Kai-Proger,de GER,MFFW,Paderborn 07,27,1992,23.1,83,3.59,28,28,14,5,8,9,0.39,4,2,1,0,2,0,Matches
359,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,24,1995,10.3,14,1.36,10,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches
360,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,25,1993,28.9,57,1.97,37,0,10,5,5,4,0.14,3,0,1,0,0,0,Matches
361,Raffael\Raffael,br BRA,MF,M'gladbach,34,1985,0.7,8,11.25,2,2,1,1,2,0,0.00,0,0,0,0,0,0,Matches
362,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,24,1994,17.8,31,1.74,21,0,4,3,3,5,0.28,4,0,0,0,1,0,Matches
363,Tobias Raschl\Tobias-Raschl,de GER,MF,Dortmund,19,2000,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
364,Milot Rashica\Milot-Rashica,xk KVX,FW,Werder Bremen,23,1996,25.2,85,3.38,45,13,14,6,7,11,0.44,6,2,1,2,0,0,Matches
365,Ante Rebić\Ante-Rebic,hr CRO,FW,Eint Frankfurt,25,1993,1.0,4,4.00,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
366,Daishawn Redan\Daishawn-Redan,nl NED,FW,Hertha BSC,18,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
367,Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,21,1997,1.0,2,2.09,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
368,Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,32,1986,5.9,6,1.01,3,1,0,1,1,1,0.17,1,0,0,0,0,0,Matches
369,Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,24,1994,14.0,7,0.50,6,0,0,1,0,2,0.14,1,0,0,1,0,0,Matches
