,xa,pens_made,assists_per90,cards_yellow,goals_assists_pens_per90,squad,nationality,pens_att,games,npxg,goals_per90,minutes,goals,xg_per90,player,assists,age,cards_red,goals_assists_per90,games_starts,npxg_per90,xa_per90,xg,position,goals_pens_per90
45,0.5,0,0.00,0,0.23,Burnley,is ISL,0,7,0.6,0.23,400,1,0.13,Jóhann Berg Guðmundsson,0,28,0,0.23,4,0.13,0.11,0.6,MF,0.23
46,0.0,0,0.00,0,0.00,Sheffield Utd,no NOR,0,5,0.0,0.00,276,0,0.01,Sander Berge,0,21,0,0.00,4,0.01,0.00,0.0,MF,0.00
47,0.7,0,0.00,1,0.56,Tottenham,nl NED,0,6,1.1,0.56,484,3,0.21,Steven Bergwijn,0,21,0,0.56,6,0.21,0.12,1.1,FW,0.56
48,1.5,0,0.18,2,0.44,Everton,br BRA,0,19,1.0,0.26,"1,021",3,0.08,Bernard,2,26,0,0.44,13,0.08,0.13,1.0,"MF,FW",0.26
49,0.2,0,0.00,1,0.00,Brighton,br BRA,0,10,0.3,0.00,542,0,0.05,Bernardo,0,24,0,0.00,6,0.05,0.03,0.3,DF,0.00
50,3.2,0,0.04,3,0.09,Southampton,eng ENG,0,25,1.9,0.04,"2,112",1,0.08,Ryan Bertrand,1,29,1,0.09,24,0.08,0.14,1.9,DF,0.04
51,0.1,0,0.00,2,0.00,Sheffield Utd,ba BIH,0,9,0.2,0.00,250,0,0.05,Muhamed Bešić,0,26,0,0.00,2,0.05,0.03,0.2,MF,0.00
52,1.3,0,0.04,7,0.08,Bournemouth,dk DEN,0,27,2.0,0.04,"2,164",1,0.08,Philip Billing,1,23,0,0.08,25,0.08,0.05,2.0,MF,0.04
53,0.1,0,0.00,2,0.00,Brighton,ml MLI,0,14,0.2,0.00,757,0,0.03,Yves Bissouma,0,22,0,0.00,9,0.03,0.01,0.2,MF,0.00
54,0.3,0,0.07,3,0.07,Wolves,fr FRA,0,14,0.0,0.00,"1,259",0,0.00,Willy Boly,1,28,1,0.07,14,0.00,0.02,0.0,DF,0.00
55,0.1,0,0.00,0,0.00,Brighton,cm CMR,0,4,0.0,0.00,59,0,0.00,Gaëtan Bong,0,31,0,0.00,0,0.00,0.20,0.0,"MF,DF",0.00
56,2.7,0,0.24,2,0.24,Southampton,ma MAR,0,20,1.0,0.00,764,0,0.11,Sofiane Boufal,2,25,0,0.24,8,0.11,0.31,1.0,"MF,FW",0.00
57,0.5,0,0.00,0,0.33,West Ham,eng ENG,0,5,0.7,0.33,274,1,0.22,Jarrod Bowen,0,22,0,0.33,3,0.22,0.15,0.7,"FW,MF",0.33
58,0.2,0,0.45,1,0.67,Burnley,ie IRL,0,14,0.9,0.22,401,1,0.21,Robbie Brady,2,27,0,0.67,5,0.21,0.04,0.9,MF,0.22
59,0.0,0,0.00,0,0.00,Manchester City,cl CHI,0,4,0.0,0.00,347,0,0.00,Claudio Bravo,0,36,0,0.00,3,0.00,0.00,0.0,GK,0.00
60,0.0,0,0.00,0,0.00,Chelsea,al ALB,0,1,0.0,0.00,5,0,0.00,Armando Broja,0,17,0,0.00,0,0.00,0.00,0.0,FW,0.00
61,,0,0.00,0,0.00,Bournemouth,wal WAL,0,1,,0.00,60,0,,David Brooks,0,22,0,0.00,1,,,,MF,0.00
62,0.0,0,0.00,0,0.00,Burnley,eng ENG,0,1,0.0,0.00,1,0,0.00,Josh Brownhill,0,23,0,0.00,0,0.00,0.00,0.0,MF,0.00
63,6.9,0,0.30,4,0.30,Norwich City,ar ARG,0,29,2.0,0.00,"2,096",0,0.09,Emi Buendía,7,22,0,0.30,23,0.09,0.30,2.0,"FW,MF",0.00
64,1.1,0,0.00,5,0.00,Brighton,eng ENG,0,26,0.7,0.00,"2,237",0,0.03,Dan Burn,0,27,0,0.00,26,0.03,0.05,0.7,DF,0.00
65,0.5,0,0.00,4,0.00,Norwich City,eng ENG,0,17,1.3,0.00,"1,293",0,0.09,Sam Byram,0,25,0,0.00,15,0.09,0.04,1.3,DF,0.00
66,0.0,0,0.00,0,0.00,Chelsea,ar ARG,0,4,0.0,0.00,360,0,0.00,Willy Caballero,0,37,0,0.00,4,0.00,0.00,0.0,GK,0.00
67,0.3,0,0.05,1,0.05,Crystal Palace,eng ENG,0,21,0.9,0.00,"1,890",0,0.05,Gary Cahill,1,33,0,0.05,21,0.05,0.01,0.9,DF,0.00
68,0.9,0,0.05,7,0.66,Everton,eng ENG,0,27,12.3,0.61,"1,909",13,0.58,Dominic Calvert-Lewin,1,22,0,0.66,22,0.58,0.04,12.3,FW,0.61
69,0.0,0,0.00,0,0.00,Crystal Palace,es ESP,0,1,0.0,0.00,6,0,0.00,Víctor Camarasa,0,25,0,0.00,0,0.00,0.00,0.0,MF,0.00
70,1.1,0,0.00,2,0.00,Manchester City,pt POR,0,11,0.2,0.00,785,0,0.02,João Cancelo,0,25,0,0.00,8,0.02,0.12,0.2,DF,0.00
71,2.7,0,0.08,4,0.34,Norwich City,eng ENG,0,30,5.7,0.25,"2,131",6,0.24,Todd Cantwell,2,21,0,0.34,26,0.24,0.11,5.7,"FW,MF",0.25
72,2.2,0,0.08,7,0.08,Watford,fr FRA,0,25,0.8,0.00,"2,214",0,0.03,Étienne Capoue,2,31,0,0.08,25,0.03,0.09,0.8,MF,0.00
73,1.6,0,0.52,1,0.52,Newcastle Utd,eng ENG,0,13,0.5,0.00,516,0,0.08,Andy Carroll,3,30,0,0.52,4,0.08,0.27,0.5,FW,0.00
74,0.8,0,0.04,4,0.08,Wolves,es ESP,0,27,1.1,0.04,"2,283",1,0.04,Jonny Castro,1,25,0,0.08,26,0.04,0.03,1.1,DF,0.04
75,0.1,0,0.00,6,0.00,Watford,nir NIR,0,27,0.1,0.00,"2,353",0,0.00,Craig Cathcart,0,30,0,0.00,27,0.00,0.00,0.1,DF,0.00
76,0.9,0,0.17,0,0.17,Arsenal,es ESP,0,16,0.4,0.00,"1,077",0,0.04,Dani Ceballos,2,22,0,0.17,11,0.04,0.08,0.4,MF,0.00
77,0.7,0,0.11,1,0.11,Watford,eng ENG,0,16,0.3,0.00,790,0,0.04,Nathaniel Chalobah,1,24,0,0.11,9,0.04,0.08,0.3,MF,0.00
78,0.8,0,0.08,5,0.16,Arsenal,eng ENG,0,14,0.6,0.08,"1,102",1,0.05,Calum Chambers,1,24,0,0.16,13,0.05,0.06,0.6,DF,0.08
79,3.3,0,0.13,2,0.25,Leicester City,eng ENG,0,24,0.8,0.13,"2,149",3,0.03,Ben Chilwell,3,22,0,0.25,24,0.03,0.14,0.8,DF,0.13
80,0.0,0,0.00,0,0.00,Manchester Utd,nl NED,0,3,0.1,0.00,37,0,0.15,Tahith Chong,0,19,0,0.00,0,0.15,0.00,0.1,"FW,MF",0.00
81,0.1,0,0.11,4,0.23,Leicester City,eng ENG,0,17,0.5,0.11,799,1,0.06,Hamza Choudhury,1,21,1,0.23,9,0.06,0.01,0.5,MF,0.11
82,0.5,0,0.00,5,0.00,Chelsea,dk DEN,0,15,0.5,0.00,"1,256",0,0.04,Andreas Christensen,0,23,0,0.00,15,0.04,0.04,0.5,DF,0.00
83,0.0,0,0.00,3,0.15,Newcastle Utd,ie IRL,0,14,1.2,0.15,"1,186",2,0.09,Ciaran Clark,0,29,0,0.15,14,0.09,0.00,1.2,DF,0.15
84,0.0,0,0.00,0,0.00,Sheffield Utd,eng ENG,0,1,0.4,0.00,14,0,2.62,Leon Clarke,0,34,0,0.00,0,2.62,0.00,0.4,MF,0.00
85,0.4,0,0.00,0,0.13,Watford,eng ENG,0,11,1.5,0.13,671,1,0.19,Tom Cleverley,0,29,0,0.13,8,0.19,0.06,1.5,MF,0.13
86,0.5,0,0.00,3,0.00,Wolves,eng ENG,0,30,0.0,0.00,"2,700",0,0.00,Conor Coady,0,26,0,0.00,30,0.00,0.02,0.0,DF,0.00
87,0.6,0,0.08,5,0.08,Everton,ie IRL,0,18,0.6,0.00,"1,193",0,0.04,Séamus Coleman,1,30,1,0.08,14,0.04,0.04,0.6,DF,0.00
88,0.2,0,0.11,0,0.32,Brighton,ie IRL,0,18,2.4,0.21,853,2,0.26,Aaron Connolly,1,19,0,0.32,9,0.26,0.02,2.4,FW,0.21
89,0.8,0,0.00,4,0.00,Bournemouth,eng ENG,0,21,0.2,0.00,"1,099",0,0.02,Lewis Cook,0,22,0,0.00,12,0.02,0.07,0.2,MF,0.00
90,0.3,0,0.00,5,0.05,Bournemouth,eng ENG,0,23,0.7,0.05,"1,938",1,0.03,Steve Cook,0,28,1,0.05,23,0.03,0.01,0.7,DF,0.05
91,0.7,0,0.00,1,0.00,Burnley,eng ENG,0,27,1.8,0.00,"2,364",0,0.07,Jack Cork,0,30,0,0.00,27,0.07,0.03,1.8,MF,0.00
92,1.3,0,0.00,7,0.13,West Ham,eng ENG,0,24,1.2,0.13,"2,113",3,0.05,Aaron Cresswell,0,29,0,0.13,24,0.05,0.06,1.2,DF,0.13
93,0.0,0,0.00,0,0.61,Wolves,it ITA,0,12,2.3,0.61,297,2,0.70,Patrick Cutrone,0,21,0,0.61,3,0.70,0.01,2.3,FW,0.61
94,0.0,0,0.00,0,0.00,Manchester Utd,pt POR,0,4,0.1,0.00,67,0,0.20,Diogo Dalot,0,20,0,0.00,1,0.20,0.00,0.1,DF,0.00
95,0.1,0,0.00,0,0.00,Bournemouth,eng ENG,0,2,0.0,0.00,126,0,0.00,Charlie Daniels,0,32,0,0.00,2,0.00,0.05,0.0,DF,0.00
96,0.2,0,0.12,0,0.12,Crystal Palace,eng ENG,0,10,0.2,0.00,726,0,0.02,Scott Dann,1,32,0,0.12,8,0.02,0.03,0.2,DF,0.00
97,0.2,0,0.32,2,0.32,Southampton,at AUT,0,6,0.1,0.00,277,0,0.03,Kevin Danso,1,20,1,0.32,3,0.03,0.06,0.1,DF,0.00
98,0.4,0,0.00,2,0.00,Tottenham,wal WAL,0,10,0.1,0.00,721,0,0.02,Ben Davies,0,26,0,0.00,8,0.02,0.05,0.1,DF,0.00
99,0.3,0,0.00,7,0.07,Everton,eng ENG,0,21,1.7,0.07,"1,371",1,0.11,Tom Davies,0,21,0,0.07,15,0.11,0.02,1.7,MF,0.07
100,0.1,0,0.00,0,0.00,Aston Villa,eng ENG,0,9,1.6,0.00,205,0,0.69,Keinan Davis,0,21,0,0.00,1,0.69,0.03,1.6,FW,0.00
101,0.0,0,0.00,4,0.05,Watford,eng ENG,0,21,1.0,0.05,"1,641",1,0.06,Craig Dawson,0,29,0,0.05,18,0.06,0.00,1.0,DF,0.05
102,13.9,1,0.69,2,1.02,Manchester City,be BEL,1,27,5.2,0.37,"2,216",9,0.24,Kevin De Bruyne,17,28,0,1.06,26,0.21,0.57,5.9,MF,0.32
103,2.8,2,0.11,3,0.34,Watford,eng ENG,3,19,4.1,0.34,"1,592",6,0.36,Troy Deeney,2,31,0,0.45,18,0.23,0.16,6.4,FW,0.23
104,0.3,0,0.00,5,0.00,Everton,eng ENG,0,16,0.1,0.00,"1,190",0,0.00,Fabian Delph,0,29,1,0.00,13,0.00,0.03,0.1,MF,0.00
105,0.6,0,0.00,4,0.08,Wolves,be BEL,0,30,1.4,0.08,"2,344",2,0.05,Leander Dendoncker,0,24,0,0.08,27,0.05,0.02,1.4,"DF,MF",0.08
106,4.6,1,0.21,3,0.34,Watford,es ESP,1,28,4.5,0.17,"2,098",4,0.23,Gerard Deulofeu,5,25,0,0.39,25,0.19,0.20,5.3,FW,0.13
